Course,Title,Units,Lec/Sec,Days,Begin,End,Bldg/Room,Location,Instructor(s),
48240,Historical Survey of World Architecture and Urbanism I,9,A,TR,03:00PM,04:20PM,MM A14,"Pittsburgh, Pennsylvania",Shaw,
48305,Architecture Design Studio: Integration II,18,Lec,WF,01:30PM,02:50PM,MM 103,"Pittsburgh, Pennsylvania",Lee,
,,,A,MWF,12:30PM,04:20PM,CFA 200,"Pittsburgh, Pennsylvania",Instructor TBA,
,,,B,MWF,12:30PM,04:20PM,CFA 200,"Pittsburgh, Pennsylvania",Instructor TBA,
,,,C,MWF,12:30PM,04:20PM,CFA 200,"Pittsburgh, Pennsylvania",Instructor TBA,
,,,D,MWF,12:30PM,04:20PM,MM 303,"Pittsburgh, Pennsylvania",Instructor TBA,
,,,F,MWF,01:30PM,04:20PM,CFA 200,"Pittsburgh, Pennsylvania",Instructor TBA,
48328,Detailing Architecture,9,A,TR,09:00AM,10:20AM,MM A14,"Pittsburgh, Pennsylvania",Damiani,
48332,Teaching and Learning,6,A,TR,03:00PM,04:20PM,CFA 206A,"Pittsburgh, Pennsylvania",Workinger,
48350,Postwar Modern Architecture and Theory,9,A,TR,09:00AM,10:20AM,WEH 6423,"Pittsburgh, Pennsylvania",Gutschow,
48356,Color Drawing,9,A,R,01:30PM,04:20PM,MM 303,"Pittsburgh, Pennsylvania",Cooper,
48368,"Rediscovering Antiquity: Travelers, Archeologists & Architects in Mediterranean",9,A,TR,10:30AM,11:50AM,CFA 206A,"Pittsburgh, Pennsylvania",Torello,
48380,Real Estate Design and Development,6,A3,MW,10:30AM,12:20PM,MM A14,"Pittsburgh, Pennsylvania",Vavasis,
48381,Issues of Practice,6,A4,MW,10:30AM,12:20PM,MM A14,"Pittsburgh, Pennsylvania",Folan,
48383,Ethics and Decision Making in Architecture,6,A,F,10:30AM,12:20PM,MM A14,"Pittsburgh, Pennsylvania",Akin,
48390,Physical Computing Studio,10,A,TR,09:00AM,10:20AM,HL A10,"Pittsburgh, Pennsylvania",Brockmeyer,
48408,Theater Architecture,6,A3,TR,01:30PM,02:50PM,PCA 103,"Pittsburgh, Pennsylvania","Block, Hayes",
48410,Advanced Synthesis Options Studio II:,18,,,,,,,,
,ASOS II Lecture,,Lec,F,01:30PM,02:50PM,MM 103,"Pittsburgh, Pennsylvania",Instructor TBA,
,,,A,WF,12:30PM,04:20PM,CFA 200,"Pittsburgh, Pennsylvania",Instructor TBA,
,,,B,WF,12:30PM,04:20PM,CFA 200,"Pittsburgh, Pennsylvania",Instructor TBA,
,,,C,WF,12:30PM,04:20PM,CFA 200,"Pittsburgh, Pennsylvania",Instructor TBA,
,,,D,WF,12:30PM,04:20PM,CFA 200,"Pittsburgh, Pennsylvania",Instructor TBA,
,,,E,WF,12:30PM,04:20PM,CFA 200,"Pittsburgh, Pennsylvania",Instructor TBA,
,,,F,WF,12:30PM,04:20PM,CFA 200,"Pittsburgh, Pennsylvania",Instructor TBA,
,,,G,WF,12:30PM,04:20PM,CFA 200,"Pittsburgh, Pennsylvania",Instructor TBA,
,,,H,WF,12:30PM,04:20PM,CFA 200,"Pittsburgh, Pennsylvania",Instructor TBA,
48440,"American Regions & Regionalism: An Architectural History of Place, Time, and Cul",9,A,TR,10:30AM,11:50AM,TBD TBD,"Pittsburgh, Pennsylvania",Shaw,
48442,Asian Architecture,9,A,TR,09:00AM,10:20AM,CFA 206A,"Pittsburgh, Pennsylvania",Zitterbart,
48448,History of Sustainable Architecture,9,A,TR,12:00PM,01:20PM,CFA 102,"Pittsburgh, Pennsylvania",Rosenblum,
48451,Incompletion and the Embodied Experience in Architecture,9,A,TR,01:30PM,02:50PM,MM 203,"Pittsburgh, Pennsylvania",Lubetz,
48454,Futures of the City/Cities of the Future,9,W,U,03:00PM,05:50PM,CMB 1030,"Doha, Qatar",El Samahy,
48468,Synthetic Flows,9,A,R,01:30PM,04:20PM,CFA 206A,"Pittsburgh, Pennsylvania",Cupkova,
,,,,R,01:30PM,04:20PM,CFA 317,"Pittsburgh, Pennsylvania",,
48497,Thesis Prep,3,A,W,10:30AM,11:20PM,CFA 206A,"Pittsburgh, Pennsylvania",Gutschow,
48510,Advanced Synthesis Options Studio IV,18,Lec,F,01:30PM,02:50PM,TBA,"Pittsburgh, Pennsylvania",Instructor TBA,
,,,A,WF,12:30PM,04:20PM,CFA 200,"Pittsburgh, Pennsylvania",Instructor TBA,
,,,B,WF,12:30PM,04:20PM,CFA 200,"Pittsburgh, Pennsylvania",Instructor TBA,
,,,C,WF,12:20PM,04:20PM,CFA 200,"Pittsburgh, Pennsylvania",Instructor TBA,
,,,D,WF,12:30PM,04:20PM,CFA 200,"Pittsburgh, Pennsylvania",Instructor TBA,
,,,E,WF,12:30PM,04:20PM,CFA 200,"Pittsburgh, Pennsylvania",Instructor TBA,
,,,F,WF,12:30PM,04:20PM,CFA 200,"Pittsburgh, Pennsylvania",Instructor TBA,
,,,G,WF,12:30PM,04:20PM,CFA 200,"Pittsburgh, Pennsylvania",Instructor TBA,
,,,H,WF,12:30PM,04:20PM,CFA 200,"Pittsburgh, Pennsylvania",Instructor TBA,
48519,Architecture Design Studio: Thesis II,18,A,MWF,12:30PM,04:20PM,CFA 200,"Pittsburgh, Pennsylvania","Kline, Gutschow",
48521,UDBS Construction Administration II,VAR,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Folan,
48523,UDBS Construction Administration IV,VAR,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Folan,
48530,Human-Machine Virtuosity,10,A,MW,09:30AM,10:50AM,HL A10,"Pittsburgh, Pennsylvania","Zeglin, Bard",
48545,Making Intelligence,6,A3,TR,01:00PM,02:20PM,MM C4,"Pittsburgh, Pennsylvania",Tursky,
48548,Design Communication,9,A,M,11:00AM,12:20PM,CFA 206A,"Pittsburgh, Pennsylvania",Kim,
,,,,MF,11:00AM,12:20PM,CFA 317,"Pittsburgh, Pennsylvania",,
48555,Introduction to Architectural Robotics,9,A,TR,03:00PM,06:00PM,MM C4,"Pittsburgh, Pennsylvania",Tursky,
48564,Furniture Design & Construction,9,A,TR,10:30AM,11:50AM,CFA SHOP,"Pittsburgh, Pennsylvania",Smith,
48569,GIS/CAFM,9,A,TR,01:30PM,02:50PM,WEH 5202,"Pittsburgh, Pennsylvania",Kurland,
48576,Mapping Urbanism,9,W,M,03:00PM,05:50PM,CMB 1030,"Doha, Qatar",Hutzell,
48587,Architecture Lighting Design,9,A,TR,01:30PM,02:50PM,PCA 211,"Pittsburgh, Pennsylvania",Limauro,
48599,Independent Study,9-Mar,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA,
,,,B,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA,
,,,W,TBA,,,DNM DNM,"Doha, Qatar",Hutzell,
48601,Architecture Design Studio,18,A,MWF,12:30PM,04:20PM,CFA 200,"Pittsburgh, Pennsylvania",Instructor TBA,
48686,Synthetic Flows,9,A,R,01:30PM,04:20PM,CFA 206A,"Pittsburgh, Pennsylvania",Cupkova,
,,,,R,01:30PM,04:20PM,CFA 317,"Pittsburgh, Pennsylvania",,
48700,Practicum,0-36,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA,
48703,Master's Project,18-36,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA,
48706,Urban Design Studio,18,A,MWF,01:30PM,04:20PM,MM 308,"Pittsburgh, Pennsylvania",Quick,
48711,Paradigms of Research in Architecture,6,A3,TR,03:00PM,04:30PM,MM 203,"Pittsburgh, Pennsylvania",Akin,
48712,MUD Graduate Seminar,9-Mar,A,F,10:30AM,11:50AM,CFA 206A,"Pittsburgh, Pennsylvania",Carter,
48720,"Planning by Design: Campuses, Waterfronts, Districts, and Cities",9,A,R,06:30PM,09:20PM,CFA 206A,"Pittsburgh, Pennsylvania",Instructor TBA,
48721,Building Controls and Diagnostics,12,A,TR,09:00AM,10:20AM,MM 415IW,"Pittsburgh, Pennsylvania",Lam,
48723,Performance of Advanced Building Systems,9,A,TR,10:30AM,11:50AM,MM 415IW,"Pittsburgh, Pennsylvania",Hartkopf,
48724,Scripting and Parametric Design,12-Jun,A,R,01:30PM,04:20PM,CFA 317,"Pittsburgh, Pennsylvania","Krishnamurti, Bard",
48731,Sustainable Design Synthesis Prep,12,A,TBA,,,MM 415IW,"Pittsburgh, Pennsylvania",Loftness,
48732,Sustainable Design Synthesis,VAR,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA,
48735,Community Collaboration & Sustainable Redevelopment,9,A,TR,12:00PM,01:20PM,MM 415IW,"Pittsburgh, Pennsylvania",Baird,
48736,MS Independent Study,0-99,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Abdul-Aziz,
,,,D,TBA,,,TBA,"Pittsburgh, Pennsylvania",Carter,
,MS Independent Study:,,,,,,,,,
,TBA,,E,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Cochran,
,,,H,TBA,,,TBA,"Pittsburgh, Pennsylvania",Hartkopf,
,,,I,TBA,,,TBA,"Pittsburgh, Pennsylvania",Oppenheim,
,,,J,TBA,,,TBA,"Pittsburgh, Pennsylvania",Folan,
,,,K,TBA,,,TBA,"Pittsburgh, Pennsylvania",Lam,
,,,L,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA,
,,,M,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA,
,,,O,TBA,,,TBA,"Pittsburgh, Pennsylvania",Akin,
,,,R,TBA,,,TBA,"Pittsburgh, Pennsylvania",Krishnamurti,
,,,S,TBA,,,TBA,"Pittsburgh, Pennsylvania",Lee,
,,,V,TBA,,,TBA,"Pittsburgh, Pennsylvania",Loftness,
,,,X,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA,
48747,Indoor Environmental Quality,6,A3,WF,10:30AM,11:50AM,MM 415IW,"Pittsburgh, Pennsylvania",Instructor TBA,
48752,Zero Energy Housing,9,A,TR,03:00PM,04:20PM,MM 415IW,"Pittsburgh, Pennsylvania",Baird,
48764,Special Topics in AECM: BIM,9,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Biswas,
48766,AEC Synthesis,6,A4,TR,03:00PM,04:20PM,MM 203,"Pittsburgh, Pennsylvania","Akin, Bates",
48769,Thesis/Project,18,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Loftness,
48781,Spatial Analysis in Infrastructure Planning,12,A,TR,01:30PM,02:50PM,WEH 5202,"Pittsburgh, Pennsylvania",Kurland,
48789,Shape + Computation,12-Sep,Lec,T,01:30PM,04:20PM,MM 410E,"Pittsburgh, Pennsylvania",Krishnamurti,
,,,A,T,01:30PM,02:50PM,WEH 5202,"Pittsburgh, Pennsylvania",Instructor TBA,
48792,Ph.D. Independent Study,0-99,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Abdul-Aziz,
,,,D,TBA,,,TBA,"Pittsburgh, Pennsylvania",Carter,
,Ph.D. Independent Study:,,,,,,,,,
,PhD Independent Study,,E,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Cochran,
,,,H,TBA,,,TBA,"Pittsburgh, Pennsylvania",Hartkopf,
,,,I,TBA,,,TBA,"Pittsburgh, Pennsylvania",Oppenheim,
,,,J,TBA,,,TBA,"Pittsburgh, Pennsylvania",Folan,
,,,K,TBA,,,TBA,"Pittsburgh, Pennsylvania",Lam,
,,,L,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA,
,,,M,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA,
,,,O,TBA,,,TBA,"Pittsburgh, Pennsylvania",Akin,
,,,R,TBA,,,TBA,"Pittsburgh, Pennsylvania",Krishnamurti,
,,,S,TBA,,,TBA,"Pittsburgh, Pennsylvania",Lee,
,,,V,TBA,,,TBA,"Pittsburgh, Pennsylvania",Loftness,
,,,X,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA,
48793,Ph.D. Thesis,0-99,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA,
48797,PhD Dissertation Defense,"5.0,36",A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA,
48806,Principles of Research II,6,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA,
48807,Principles of Practice,6,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA,
48808,Directed Study II,6,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA,
48809,International Exchange II,12,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Cochran,
48810,Comparative Analysis of US and EU Practices,6,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA,
Art,,,,,,,,,,
60051,Study Abroad,0,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA,
60109,Adventures in Arts Time,9,A,F,01:30PM,04:20PM,OFF CAMP,"Pittsburgh, Pennsylvania",Instructor TBA,
60110,Electronic Media Studio: Introduction to the Moving Image,10,A,MW,08:30AM,11:20AM,CFA 318,"Pittsburgh, Pennsylvania",Instructor TBA,
,,,B,TR,08:30AM,11:20AM,CFA 318,"Pittsburgh, Pennsylvania",Instructor TBA,
,,,C,TR,06:30PM,09:20PM,CFA 318,"Pittsburgh, Pennsylvania",Andrew,
60131,3D Media Studio II:,5,,,,,,,,
,"Multiples, Mold Making, and Casting",,A3,MW,01:30PM,04:20PM,DH D200,"Pittsburgh, Pennsylvania",Reiman,
,3D Media Studio II:,,,,,,,,,
,"Multiples, Mold Making, and Casting",,A4,MW,01:30PM,04:20PM,DH D200,"Pittsburgh, Pennsylvania",Reiman,
,3D Media Studio II:,,,,,,,,,
,Small Metals,,B3,MW,01:30PM,04:20PM,DH B303,"Pittsburgh, Pennsylvania",Kumata,
,3D Media Studio II:,,,,,,,,,
,Small Metals,,B4,MW,01:30PM,04:20PM,DH B303,"Pittsburgh, Pennsylvania",Kumata,
,3D Media Studio II:,,,,,,,,,
,Mixed Media/Mini-Installation,,C3,TR,01:30PM,04:20PM,DH B302,"Pittsburgh, Pennsylvania",Bingham,
,3D Media Studio II:,,,,,,,,,
,Mixed Media/Mini-Installation,,C4,TR,01:30PM,04:20PM,DH B302,"Pittsburgh, Pennsylvania",Bingham,
60141,Black and White Photography I,10,A,MW,01:30PM,04:20PM,MM B10,"Pittsburgh, Pennsylvania",Gruzska,
,,,B,TR,08:30AM,11:20AM,MM B10,"Pittsburgh, Pennsylvania",Griffin,
,,,C,TR,01:30PM,04:20PM,MM B10,"Pittsburgh, Pennsylvania",Maurides,
60142,Digital Photography I,10,A,MW,06:30PM,09:20PM,MM B2,"Pittsburgh, Pennsylvania",Spradlin,
,,,B,TR,01:30PM,04:20PM,MM B2,"Pittsburgh, Pennsylvania",Blum,
60157,Drawing for Non-Majors,10,A,MW,08:30AM,11:20AM,CFA 308,"Pittsburgh, Pennsylvania",Kovak,
60160,2D Media Studio: Imaging,10,A,MW,08:30AM,11:20AM,CFA 313,"Pittsburgh, Pennsylvania",Beck,
,,,B,TR,01:30PM,04:20PM,CFA 308,"Pittsburgh, Pennsylvania",Shimoyama,
,,,C,TR,06:30PM,09:20PM,CFA 308,"Pittsburgh, Pennsylvania",Johnson,
60200,Sophomore Review,0,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Instructor TBA,
60206,Contemporary Visual Culture 1960 - Present,9,A,T,06:30PM,08:50PM,MM 103,"Pittsburgh, Pennsylvania",King,
60215,Visualizing Issues with Images and Sound,5,A4,TR,06:30PM,09:20PM,MM B2,"Pittsburgh, Pennsylvania",Instructor TBA,
60231,Current Directions in Documentation Photography,4.5,A3,R,06:30PM,09:20PM,PH 226A,"Pittsburgh, Pennsylvania",Hsu,
60241,Black and White Photography II,10,A,MW,08:30AM,11:20AM,MM B10,"Pittsburgh, Pennsylvania",Prekop,
60251,2D Media Studio: Print Media,10,A,MW,01:30PM,04:20PM,DH C301,"Pittsburgh, Pennsylvania",Benedetto,
60280,Introduction to Contextual Practice,10,A,TR,01:30PM,04:20PM,CFA 310,"Pittsburgh, Pennsylvania",Rubin,
,,,B,TR,01:30PM,04:20PM,DH D200,"Pittsburgh, Pennsylvania",Momeni,
,,,C,TR,01:30PM,04:20PM,DH B305,"Pittsburgh, Pennsylvania",Clayton,
60353,"Media Performance: History, Theory, and Contemporary Practice",9,A,W,06:30PM,09:20PM,CFA 303,"Pittsburgh, Pennsylvania",Ragona,
60358,Art and Biology,9,A,TR,09:00AM,10:50AM,CFA 303,"Pittsburgh, Pennsylvania",Maurides,
60373,Aesthetics from a Global Viewpoint,9,A,F,01:30PM,04:20PM,CFA 307,"Pittsburgh, Pennsylvania",Burgess,
60390,Special Topics:,9,,,,,,,,
,"Museums in the 21st Century: Audience, Mission, Function",,A,W,09:00AM,11:20AM,CFA 303,"Pittsburgh, Pennsylvania",King,
60397,"Art, Conflict, and Technology in Northern Ireland",12,A,T,02:00PM,03:20PM,CFA 307,"Pittsburgh, Pennsylvania","Nourbakhsh, Carson, Keating-Miller",
,,,,R,02:00PM,04:20PM,CFA 307,"Pittsburgh, Pennsylvania",,
60399,Art History/Theory Independent Study,9,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA,
60400,Senior Review,0,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Instructor TBA,
60402,Senior Studio,10,A,TR,01:30PM,04:20PM,CFA 303,"Pittsburgh, Pennsylvania","Slavick, Mannino, Johnson, Pedercini",
60403,Extended Studio,10,A,TR,06:30PM,09:20PM,CFA 4TH FL,"Pittsburgh, Pennsylvania",Slavick,
60406,Advanced ETB: Internet Resistance,10,A,TR,06:30PM,09:20PM,CFA 307,"Pittsburgh, Pennsylvania",Pedercini,
60412,Interactive Art and Computational Design,10,A,TR,08:30AM,11:20AM,CFA 111,"Pittsburgh, Pennsylvania",Levin,
60422,Advanced ETB: Experimental Animation,12,A,MW,01:30PM,04:20PM,CFA 303,"Pittsburgh, Pennsylvania","Duesing, Hodgins",
,,,,MW,01:30PM,04:20PM,CFA 317,"Pittsburgh, Pennsylvania",,
60433,Advanced SIS: Clay Sculpture,10,A,TR,06:30PM,09:20PM,DH B301,"Pittsburgh, Pennsylvania",Mannino,
60434,Advanced SIS: Miniature Worlds,10,A,MW,06:30PM,09:20PM,DH B303,"Pittsburgh, Pennsylvania",Kumata,
60437,Advanced CP/SIS: Environmental Sculpture,10,A,MW,01:30PM,04:20PM,DH B302,"Pittsburgh, Pennsylvania",Bingham,
60441,Advanced CP/SIS: Special Topic::,10,,,,,,,,
,Urban Intervention,,A,TR,08:30AM,11:20AM,DH C200,"Pittsburgh, Pennsylvania",Momeni,
60452,Advanced DP3: Color,10,A,TR,01:30PM,04:20PM,CFA 313,"Pittsburgh, Pennsylvania",Merrell,
60453,Advanced DP3: Painting,10,A,MW,01:30PM,04:20PM,CFA 4TH FL,"Pittsburgh, Pennsylvania",Prekop,
60472,Advanced DP3: Mutable Landscape,10,A,MW,01:30PM,04:20PM,MM B2,"Pittsburgh, Pennsylvania",Beck,
60473,Advanced DP3 Special Topic:,10,,,,,,,,
,Placemaking,,A,MW,06:30PM,09:20PM,DH C301,"Pittsburgh, Pennsylvania",Benedetto,
60474,Advanced DP3: Special Topic::,10,,,,,,,,
,"Painting, Drawing and Where They Intersect",,A,TR,06:30PM,09:20PM,CFA 308,"Pittsburgh, Pennsylvania",Shimoyama,
60484,Advanced CP: Special Topic::,10,,,,,,,,
,Art in Everyday Life,,A,F,01:30PM,04:20PM,CFA 307,"Pittsburgh, Pennsylvania",Instructor TBA,
60491,Advanced CP: Space Art,10,A,MW,06:30PM,09:20PM,CFA 310,"Pittsburgh, Pennsylvania",Burgess,
60499,Studio Independent Study,10-May,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA,
60590,Internship,9-Jan,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA,
60599,Exchange Independent Study,Oct-36,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Instructor TBA,
60701,M.F.A. Academic Seminar,12,A,T,06:30PM,09:20PM,CFA 4TH FL,"Pittsburgh, Pennsylvania",Ragona,
60703,M.F.A. Studio,24-Dec,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Instructor TBA,
60705,M.F.A. Project,36,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Instructor TBA,
60706,M.F.A. Contextual Practice,6,A,T,06:30PM,09:20PM,CFA 303,"Pittsburgh, Pennsylvania",Rubin,
60711,M.F.A. Thesis Writing Seminar,4.5,A,T,06:30PM,09:20PM,CFA 303,"Pittsburgh, Pennsylvania",Eldridge,
60741,Urban Intervention,12,A,TR,08:30AM,11:20AM,DH C200,"Pittsburgh, Pennsylvania",Momeni,
60790,"Museums In the 21st Century: Audience, Mission, Function",9,A,W,09:00AM,11:20AM,CFA 303,"Pittsburgh, Pennsylvania",King,
60791,M.F.A. Integrative Seminar,12,A,R,06:30PM,09:20PM,CFA 303,"Pittsburgh, Pennsylvania",Reiman,
BXA Intercollege Degree Programs,,,,,,,,,,
52290,Literacy Across Disciplines,9,A,TR,12:00PM,01:20PM,HBH 1002,"Pittsburgh, Pennsylvania",Murray,
52390,BXA Undergraduate Research Project,12-Mar,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Murray,
52391,BXA Junior Portfolio Review,0,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Hagan,
52399,BXA Interdisciplinary Seminar,9,A,M,01:30PM,03:20PM,CFA 102,"Pittsburgh, Pennsylvania",Sciannameo,
52400,BXA Capstone Project,9,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Murray,
52402,BXA Capstone Project II,9,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania",Murray,
52410,BXA Junior Seminar,9,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Hagan,
52590,BXA Internship,12-Mar,A,TBA,,,DNM DNM,"Pittsburgh, Pennsylvania","Hagan, Murray",
Biological Sciences,,,,,,,,,,
3051,Study Abroad,0,A,TBA,,,TBA,"Pittsburgh, Pennsylvania",Braun,
3101,Biological Sciences First Year Seminars,6-Mar,C4,T,01:30PM,02:50PM,MI 150D,"Pittsburgh, Pennsylvania",Ho,
3116,Phage Genomics Research,6,A,TR,01:30PM,04:20PM,BH 140E,"Pittsburgh, Pennsylvania","Lopez, Mohan",
,,,,TR,01:30PM,04:20PM,DH 2303,"Pittsburgh, Pennsylvania",,
,,,W,MW,03:00PM,05:50PM,TBA,"Doha, Qatar",Ilyin,
3121,Modern Biology,9,A,MWF,01:30PM,02:20PM,DH 2210,"Pittsburgh, Pennsylvania","Jarvik, Lanni",
3124,Modern Biology Laboratory,9,Lec,W,03:30PM,04:20PM,DH 1217,"Pittsburgh, Pennsylvania",Mohan,
,,,B,W,06:30PM,09:20PM,DH 2303,"Pittsburgh, Pennsylvania",Mohan,
3126,Cellular Response to the Environment,4,13,TR,09:30AM,10:20AM,WEH 5316,"Pittsburgh, Pennsylvania",Visomirski-Robic,
,,,A3,R,09:30AM,12:20PM,DH 2303,"Pittsburgh, Pennsylvania",Visomirski-Robic,
3127,How Biological Experiments Work - A Project Course,9,A,TR,01:30PM,02:50PM,DH 1211,"Pittsburgh, Pennsylvania",Minden,
3132,Basic Science to Modern Medicine,9,W,MW,04:30PM,05:50PM,CMB 1031,"Doha, Qatar",Bouaouina,
3161,Molecules to Mind,9,A,TR,10:30AM,11:50AM,PH A18A,"Pittsburgh, Pennsylvania","Barth, Brasier",
3202,Undergraduate Colloquium for Sophomores,3-Jan,A,R,09:30AM,10:20AM,DH 1212,"Pittsburgh, Pennsylvania",Braun,
,,,W,TBA,,,TBA,"Doha, Qatar",Hovis,
3206,Biomedical Engineering Laboratory,9,A,MW,01:30PM,02:50PM,EDS 125,"Pittsburgh, Pennsylvania",Zapanta,
,,,B,TR,10:30AM,11:50AM,EDS 125,"Pittsburgh, Pennsylvania",Zapanta,
3210,Independent Study,12-Jan,A3,TBA,,,TBA,"Pittsburgh, Pennsylvania",Braun,
,,,B4,TBA,,,TBA,"Pittsburgh, Pennsylvania",Braun,
3232,Biochemistry I,9,Lec,MWF,09:30AM,10:20AM,WEH 7500,"Pittsburgh, Pennsylvania",Rule,
,,,A,W,02:30PM,03:20PM,SH 214,"Pittsburgh, Pennsylvania",Rule,
,,,B,R,03:30PM,04:20PM,WEH 5409,"Pittsburgh, Pennsylvania",Rule,
,,,C,T,03:30PM,04:20PM,WEH 5409,"Pittsburgh, Pennsylvania",Rule,
3240,Cell Biology,9,A,MWF,09:30AM,10:20AM,MM 103,"Pittsburgh, Pennsylvania","Linstedt, Puthenveedu",
,,,W,UTR,03:30PM,04:20PM,CMB 1190,"Doha, Qatar",Bouaouina,
3250,Introduction to Computational Biology,12,Lec,MWF,10:30AM,11:20AM,HH B103,"Pittsburgh, Pennsylvania","Murphy, Schwartz, McManus",
,,,A,F,11:30AM,12:50PM,CYH 100,"Pittsburgh, Pennsylvania",Instructor TBA,
,,,B,F,01:00PM,02:20PM,CYH 100,"Pittsburgh, Pennsylvania",Instructor TBA,
